generation,n_feasible,feasible_fraction,mean_max_violation,median_max_violation,f0_mean,f1_mean,n_pareto
1,45,0.703125,0.13972205667745657,0.0,-0.10207782711979932,2456.7492585081004,5
2,64,1.0,0.0,0.0,-0.10440005905260176,776.4546160078282,8
3,64,1.0,0.0,0.0,-0.10557262377997978,602.3376608266578,5
4,64,1.0,0.0,0.0,-0.10606692733693088,554.9333499340541,5
5,64,1.0,0.0,0.0,-0.10598118238039952,354.8430060426273,4
6,64,1.0,0.0,0.0,-0.10696781219294052,317.67055782141244,6
7,64,1.0,0.0,0.0,-0.10738177077397816,282.0965053828508,10
8,64,1.0,0.0,0.0,-0.1073584227129671,228.785601504177,11
9,64,1.0,0.0,0.0,-0.10743560826198023,211.03516278040075,10
10,64,1.0,0.0,0.0,-0.10743706839059325,195.7414498581979,10
11,64,1.0,0.0,0.0,-0.10755061738558575,191.3821308405158,10
12,64,1.0,0.0,0.0,-0.10766363870168373,193.4116576002659,8
13,64,1.0,0.0,0.0,-0.10767663442370791,185.08006601996436,11
14,64,1.0,0.0,0.0,-0.10783047756655521,186.43705020832584,13
15,64,1.0,0.0,0.0,-0.10783577933389824,180.45361417735188,10
16,64,1.0,0.0,0.0,-0.10783934590674443,162.2687051390884,8
17,64,1.0,0.0,0.0,-0.10786540815851595,157.04566790153848,9
18,64,1.0,0.0,0.0,-0.10786895279346774,141.51929298812905,8
19,64,1.0,0.0,0.0,-0.1078668682171281,123.86237039409691,6
20,64,1.0,0.0,0.0,-0.1078643550196493,96.07297991734404,11
21,64,1.0,0.0,0.0,-0.10786751744183284,93.16248234795673,6
22,64,1.0,0.0,0.0,-0.10787479570169592,88.63730277639887,8
23,64,1.0,0.0,0.0,-0.10787248885132786,79.9893008682205,10
24,64,1.0,0.0,0.0,-0.10787599114739471,75.8617292428207,10
25,64,1.0,0.0,0.0,-0.10786843549851752,75.77813949536352,8
26,64,1.0,0.0,0.0,-0.10785609817458264,67.0175548735948,8
27,64,1.0,0.0,0.0,-0.10786459023023572,68.93300535982024,9
28,64,1.0,0.0,0.0,-0.10787398986204372,57.20260934979454,11
29,64,1.0,0.0,0.0,-0.10787322882398154,53.294678625936896,10
30,64,1.0,0.0,0.0,-0.10787578215416749,58.10299843159027,4
31,64,1.0,0.0,0.0,-0.10787787028826136,45.02298654992203,7
32,64,1.0,0.0,0.0,-0.10787746826459739,44.130512176867335,9
33,64,1.0,0.0,0.0,-0.10787971227504917,42.01481692097613,7
34,64,1.0,0.0,0.0,-0.10787880717900825,44.81411434914763,5
35,64,1.0,0.0,0.0,-0.10787975282386736,46.008866054607644,7
36,64,1.0,0.0,0.0,-0.10787779724890273,38.444237970780975,8
37,64,1.0,0.0,0.0,-0.10788125157489332,39.568636901194,10
38,64,1.0,0.0,0.0,-0.107883157447291,41.033888781392875,7
39,64,1.0,0.0,0.0,-0.1078851731482347,44.89646473507665,11
40,64,1.0,0.0,0.0,-0.10788608380216347,46.14993131106276,13
41,64,1.0,0.0,0.0,-0.10788587106927505,31.78022359067636,14
42,64,1.0,0.0,0.0,-0.10788485255615124,31.761329509455713,12
43,64,1.0,0.0,0.0,-0.10788383456637343,32.61142849354376,12
44,64,1.0,0.0,0.0,-0.10788180024742462,32.470172427429254,13
45,64,1.0,0.0,0.0,-0.10787873862585785,28.031394757577527,14
46,64,1.0,0.0,0.0,-0.10787899981951071,29.317401904008676,12
47,64,1.0,0.0,0.0,-0.10787791088105264,23.864660791985727,16
48,64,1.0,0.0,0.0,-0.10788075921062801,22.95936609889879,18
49,64,1.0,0.0,0.0,-0.10788076106656544,19.09707234683529,17
50,64,1.0,0.0,0.0,-0.10788248990885463,21.29315938884424,16
