idx,g0,g1,g2,g3,g4,g5,g6,max_violation,feasible
0,-0.343914,-0.256086,-0.000739,-0.120458,-52.968362,-41.719272,-0.482652,-0.000739,1
1,-0.344797,-0.255203,-0.000064,-0.172532,-48.519015,-46.083603,-0.481021,-0.000064,1
2,-0.323784,-0.276216,-0.015956,-0.127793,-52.516652,-42.407050,-0.482520,-0.015956,1
3,-0.344827,-0.255173,-0.000006,-0.149721,-50.466549,-44.088827,-0.481384,-0.000006,1
4,-0.324862,-0.275138,-0.015145,-0.128571,-52.414970,-42.482657,-0.482492,-0.015145,1
5,-0.221946,-0.378054,-0.089186,-0.127246,-52.504009,-42.406344,-0.482526,-0.089186,1
6,-0.344719,-0.255281,-0.000162,-0.135679,-51.704339,-42.976320,-0.482181,-0.000162,1
7,-0.344524,-0.255476,-0.000280,-0.119102,-53.082040,-41.589390,-0.482691,-0.000280,1
8,-0.337623,-0.262377,-0.005551,-0.129025,-52.425726,-42.326962,-0.482520,-0.005551,1
9,-0.344816,-0.255184,-0.000052,-0.128586,-52.447068,-42.359251,-0.482087,-0.000052,1
10,-0.219632,-0.380368,-0.094650,-0.129692,-52.510275,-42.402669,-0.482522,-0.094650,1
11,-0.344828,-0.255172,-0.000004,-0.149642,-50.481933,-44.055194,-0.481419,-0.000004,1
12,-0.270521,-0.329479,-0.056303,-0.127974,-52.518046,-42.406870,-0.482517,-0.056303,1
13,-0.344832,-0.255168,-0.000038,-0.172208,-48.533740,-46.055945,-0.480621,-0.000038,1
14,-0.338747,-0.261253,-0.004650,-0.128943,-52.422197,-42.316712,-0.482509,-0.004650,1
15,-0.230406,-0.369594,-0.082827,-0.155941,-49.836001,-45.084366,-0.481676,-0.082827,1
